         5881437 function calls (5753848 primitive calls) in 4.738 seconds

   Ordered by: cumulative time
   List reduced from 3371 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.117    0.117 subprocess.py:1202(wait)
        1    0.000    0.000    0.117    0.117 subprocess.py:1909(_wait)
        1    0.000    0.000    0.117    0.117 subprocess.py:1896(_try_wait)
        2    0.117    0.058    0.117    0.058 {built-in method posix.waitpid}
        1    0.000    0.000    0.111    0.111 _data.py:1319(__init__)
       28    0.000    0.000    0.110    0.004 basedatatypes.py:5301(_set_array_prop)
  740/689    0.001    0.000    0.110    0.000 <frozen importlib._bootstrap_external>:877(exec_module)
       29    0.000    0.000    0.109    0.004 basevalidators.py:2556(validate_coerce)
        3    0.000    0.000    0.102    0.034 _pie.py:1(<module>)
        1    0.000    0.000    0.102    0.102 selectors.py:403(select)
        1    0.102    0.102    0.102    0.102 {method 'poll' of 'select.poll' objects}
      348    0.002    0.000    0.090    0.000 series.py:1092(__setitem__)
   135427    0.014    0.000    0.082    0.000 {built-in method builtins.next}
     2005    0.002    0.000    0.080    0.000 basedatatypes.py:4317(_get_validator)
     2005    0.001    0.000    0.077    0.000 validator_cache.py:8(get_validator)
